Desired Frequency (GHz),Measured Frequency (GHz),Vlockin (microvolts)
154,153.90692170371767,492.338
155,154.9006338333129,235.08200000000002
156,155.90155737652094,170.94699999999997
157,156.90104606220848,531.3199999999999
158,157.90233158206684,249.98400000000004
159,158.90009019849822,131.727
160,159.90457918433822,244.619
161,160.90228695783298,233.77
162,161.90079496213002,333.549
163,162.90156716672936,511.41200000000003
164,163.90409997774987,285.15000000000003
165,164.9048144519329,556.9499999999999
166,165.9062046103354,806.931
167,166.90183550823713,302.91299999999995
168,167.9028852051415,393.86899999999997
169,168.9014541102806,613.932
170,169.90297066111816,188.113
171,170.90410494597745,586.275
172,171.90299740846967,349.64300000000003
173,172.90130214657984,379.683
174,173.90505538252182,726.465
175,174.9010897099506,337.483
176,175.90041946413112,113.13
177,176.90119012643117,369.431
178,177.9013120881864,291.826
179,178.90023610697244,134.946
180,179.9037285160157,426.175
181,180.90501637471607,221.13400000000001
182,181.90740968906903,83.56620000000001
183,182.9005413763225,405.67100000000005
184,183.90328063358902,359.179
185,184.90468198410235,362.875
186,185.90347097450285,319.84
187,186.9001709871518,394.346
188,187.90840670641046,423.552
189,188.9000523647701,379.683
190,189.90195667999797,185.84799999999998
191,190.90100651074317,391.247
192,191.90200904675294,385.882
193,192.9008260461269,429.632
194,193.9032729259343,282.17
195,194.90761870707502,244.14199999999997
196,195.904689312767,240.208
197,196.90085865970468,148.178
198,197.90366860138602,193.239
199,198.90183517942205,179.292
200,199.9008540943032,203.372
201,200.90109035477508,269.892
202,201.90032163626165,159.02599999999998
203,202.90722779670614,233.651
204,203.90146846295102,385.40500000000003
205,204.90209582282114,235.558
206,205.90187816449907,240.208
207,206.9039687901968,279.30899999999997
208,207.90018434327794,268.10400000000004
209,208.9024105076969,215.77
210,209.90012693201425,204.206
211,210.90062823268818,192.405
212,211.9002474595036,160.457
213,212.90096823353088,123.144
214,213.90037467566435,116.826
215,214.90261587753776,130.774
216,215.90148889488773,143.41000000000003
217,216.9026561404462,92.6261
218,217.90039583918406,150.681
219,218.90276454461855,101.92399999999999
220,219.90084703982575,224.71
221,220.90191440092167,251.05700000000002
222,221.90538962907158,104.309
223,222.90505016120733,98.7058
224,223.90014247808722,153.781
225,224.90124659892172,105.262
226,225.90154640213586,134.23100000000002
227,226.90363418168272,115.753
228,227.90476798368036,153.06599999999997
229,228.904336627078,95.6063
230,229.90107970769168,77.7249
231,230.9032138901821,58.651199999999996
232,231.90147489038645,109.673
233,232.90377587263356,187.398
234,233.9056529577647,124.93199999999999
235,234.9004772141343,92.7453
236,235.90569113043603,92.6261
237,236.90356836581486,58.4128
238,237.90421932638856,63.300599999999996
239,238.9015221685986,82.25489999999999
240,239.90227889447124,96.56
241,240.9009658820287,195.504
242,241.90027491626097,84.6391
243,242.903917162359,133.038
244,243.90162091280217,34.8093
245,244.9044864960306,209.094
246,245.90563325741095,137.092
247,246.90268234661198,273.468
248,247.9045531610609,272.753
249,248.90196051442763,362.875
250,249.9010684727691,211.478
251,250.90524627664126,247.838
252,251.90134383979603,112.892
253,252.90035050333245,137.56799999999998
254,253.90403141541174,106.81200000000001
255,254.90002703247592,107.408
256,255.9038685086707,181.91400000000002
257,256.9000810908328,89.5266
258,257.9018352708663,64.6119
259,258.90147414573585,26.703000000000003
260,259.90362439106684,45.299800000000005
261,260.9043365030666,10.132800000000001
262,261.9020749028714,16.331799999999998
263,262.90323143597925,42.4387
264,263.90241483808495,34.2133
265,264.9016697644547,19.9081
266,265.902814435598,8.82155
267,266.903098771174,6.079700000000001
268,267.9017178796639,12.9939
269,268.9019923203159,5.96049
270,269.90270702331327,1.54973
271,270.9005267104367,4.8876100000000005
272,271.9009026919666,2.5034099999999997
273,272.90053027967224,1.78815
274,273.9009253970289,6.79496
275,274.90112939313985,4.64919
276,275.90153484995244,3.4570800000000004
277,276.9010367342853,4.2915600000000005
278,277.90186845493736,5.841279999999999
279,278.9023696493241,7.39101
280,279.90265676984563,8.10629
281,280.9021077808575,4.7684
282,281.9026367304323,7.867869999999999
283,282.90327581303427,7.033379999999999
284,283.90048233850393,8.46392
285,284.9045325747866,11.5634
286,285.9022507194604,10.0136
287,286.9008689330076,10.9673
288,287.9028543327295,27.299
289,288.9012835568865,12.636199999999999
290,289.9030314910633,4.05314
291,290.90105949511053,0.715259
292,291.90014639421133,12.636199999999999
293,292.9009951974149,22.2923
294,293.9006490120373,20.1465
295,294.9067940338864,38.504799999999996
296,295.9027840005292,22.649900000000002
297,296.901434340165,6.91417
298,297.9006435861229,5.36445
299,298.9005186029535,0.59605
300,299.90251291860477,10.0136
301,300.90214625987574,19.6696
302,301.9007565433858,6.675750000000001
303,302.9054406484938,18.5968
304,303.90418208943447,17.047
305,304.9042556131317,7.867869999999999
306,305.90127296719584,1.78815
307,306.9010541959142,0.59605
308,307.90153016819386,0.35763
309,308.9001044225297,1.31131
310,309.9004676551267,0.35763
311,310.9019419189426,1.66894
312,311.90091832142207,1.31131
313,312.9023917297018,0.35763
314,313.901604810555,1.43052
315,314.901172442449,2.3842
316,315.900625837181,0.35763
317,316.90796146696084,0.834469
318,317.905696156231,6.79496
319,318.90287087426987,1.0728900000000001
320,319.90252524998505,0.35763
321,320.9056453452795,0.59605
322,321.9014388680516,0.23842
323,322.90181827373453,0.476841
324,323.9045201371482,0.35763
325,324.90143554704264,0.834469
326,325.9027397730388,1.31131
327,326.90153568951064,0.834469
328,327.9021156800736,1.90736
329,328.9062968107173,3.4570800000000004
330,329.9032580072526,1.31131
331,330.90705272593186,0.834469
332,331.9007654537854,1.54973
333,332.9030374318536,1.1921
334,333.90051197004505,0.59605
335,334.9008412550611,0.35763
336,335.90052145914524,0.715259
337,336.9010374449135,5.841279999999999
338,337.90526840274106,1.78815
339,338.9052590287756,2.86104
340,339.9008541562944,2.86104
341,340.9014972182631,1.43052
342,341.90202240034705,2.62262
343,342.90035518372315,1.0728900000000001
344,343.9049640260055,1.31131
