Time,Vlockin (microvolts)
0.0,2.63267e-05
0.015281438827514648,2.63118e-05
0.02773594856262207,2.63044e-05
0.04094719886779785,2.63603e-05
0.05993795394897461,2.63528e-05
0.0727548599243164,2.63826e-05
0.08587455749511719,2.64571e-05
0.09903597831726074,2.64795e-05
0.11178350448608398,2.65242e-05
0.12612032890319824,2.65838e-05
0.13863468170166016,2.66099e-05
0.15225982666015625,2.66248e-05
0.16572880744934082,2.66806e-05
0.1796271800994873,2.66732e-05
0.19370388984680176,2.66769e-05
0.20723700523376465,2.67104e-05
0.22095537185668945,2.67179e-05
0.23433470726013184,2.67067e-05
0.248396635055542,2.67179e-05
0.26271796226501465,2.66806e-05
0.27619028091430664,2.6662e-05
0.28943777084350586,2.66844e-05
0.3030376434326172,2.66546e-05
0.31662416458129883,2.66546e-05
0.3298513889312744,2.66955e-05
0.34334492683410645,2.67179e-05
0.35595273971557617,2.67589e-05
0.3690495491027832,2.68855e-05
0.3822200298309326,2.70159e-05
0.3948948383331299,2.71947e-05
0.40881896018981934,2.74667e-05
0.4219057559967041,2.77014e-05
0.4353823661804199,2.79845e-05
0.4493114948272705,2.83533e-05
0.46297359466552734,2.8696e-05
0.47661375999450684,2.89978e-05
0.4898359775543213,2.93032e-05
0.503028154373169,2.94821e-05
0.5161678791046143,2.95603e-05
0.52950119972229,2.96832e-05
0.5425012111663818,2.97764e-05
0.5551197528839111,2.98248e-05
0.5687460899353027,2.99216e-05
0.5821290016174316,2.99887e-05
0.5962541103363037,3.00669e-05
0.6154224872589111,3.01638e-05
0.6287577152252197,3.02085e-05
0.6424977779388428,3.02905e-05
0.6563963890075684,3.03873e-05
0.6702332496643066,3.04618e-05
0.6840958595275879,3.05513e-05
0.6973345279693604,3.06966e-05
0.7119882106781006,3.08084e-05
0.7255649566650391,3.09276e-05
0.7390966415405273,3.10952e-05
0.7530453205108643,3.12182e-05
0.7663640975952148,3.13486e-05
0.7798483371734619,3.15199e-05
0.7939727306365967,3.16317e-05
0.8073444366455078,3.17658e-05
0.8209319114685059,3.19371e-05
0.834221601486206,3.20452e-05
0.8473210334777832,3.2142e-05
0.8599603176116943,3.22799e-05
0.8730900287628174,3.23618e-05
0.8867859840393066,3.24401e-05
0.9010958671569824,3.25555e-05
0.9141581058502197,3.26226e-05
0.9271819591522217,3.26822e-05
0.9412834644317627,3.27977e-05
0.9547436237335205,3.28759e-05
0.9682025909423828,3.29318e-05
0.982062578201294,3.30547e-05
0.9959053993225098,3.31404e-05
1.0094594955444336,3.32112e-05
1.0228631496429443,3.33379e-05
1.0366291999816895,3.34273e-05
1.048985242843628,3.34794e-05
1.0623869895935059,3.35986e-05
1.0752532482147217,3.36992e-05
1.0885818004608154,3.37625e-05
1.1016714572906494,3.38966e-05
1.1151025295257568,3.40345e-05
1.1293015480041504,3.41351e-05
1.1425418853759766,3.42729e-05
1.156080961227417,3.44964e-05
1.1753215789794922,3.46492e-05
1.189666509628296,3.4895e-05
1.2033941745758057,3.50217e-05
1.2173168659210205,3.52191e-05
1.2308032512664795,3.53979e-05
1.2441112995147705,3.55544e-05
1.2574224472045898,3.57109e-05
1.2713990211486816,3.59195e-05
1.285574197769165,3.60461e-05
1.2991015911102295,3.61952e-05
1.3133525848388672,3.63628e-05
1.3270061016082764,3.64783e-05
1.3400349617004395,3.66049e-05
1.3541929721832275,3.67465e-05
1.3688385486602783,3.68471e-05
1.3828115463256836,3.69439e-05
1.3969953060150146,3.71004e-05
1.4101037979125977,3.71675e-05
1.423877477645874,3.72829e-05
1.4377861022949219,3.74021e-05
1.450925350189209,3.74618e-05
1.4652862548828125,3.75735e-05
1.4786109924316406,3.76853e-05
1.4921958446502686,3.77374e-05
1.5058825016021729,3.78417e-05
1.5198476314544678,3.7946e-05
1.5337088108062744,3.7987e-05
1.5463476181030273,3.80503e-05
1.5600461959838867,3.81509e-05
1.5736236572265625,3.81882e-05
1.5875649452209473,3.82627e-05
1.6015381813049316,3.8367e-05
1.6157200336456299,3.83968e-05
1.629265546798706,3.84639e-05
1.643193006515503,3.85384e-05
1.6565144062042236,3.85495e-05
1.669567346572876,3.86054e-05
1.6837079524993896,3.86687e-05
1.6975088119506836,3.86799e-05
1.711517572402954,3.87582e-05
1.7315173149108887,3.87768e-05
1.7458288669586182,3.87805e-05
1.7599642276763916,3.88215e-05
1.773979902267456,3.88215e-05
1.7871086597442627,3.88178e-05
1.801081657409668,3.88513e-05
1.814746379852295,3.88401e-05
1.8280303478240967,3.88252e-05
1.8420345783233643,3.8855e-05
1.85573148727417,3.88438e-05
1.869293212890625,3.88252e-05
1.8841907978057861,3.8855e-05
1.8981096744537354,3.88438e-05
1.9121952056884766,3.88289e-05
1.925994634628296,3.88587e-05
1.9398186206817627,3.88438e-05
1.953397512435913,3.88476e-05
1.966951608657837,3.88848e-05
1.980475664138794,3.88848e-05
1.9946305751800537,3.88885e-05
2.00923752784729,3.89481e-05
2.023209571838379,3.89593e-05
2.0371005535125732,3.89817e-05
2.0508928298950195,3.90487e-05
2.064689874649048,3.90674e-05
2.078458547592163,3.91083e-05
2.0919811725616455,3.91717e-05
2.1053876876831055,3.9194e-05
2.119621753692627,3.92499e-05
2.1321043968200684,3.93169e-05
2.145199775695801,3.93356e-05
2.1584482192993164,3.93915e-05
2.1711173057556152,3.9466e-05
2.184405565261841,3.95069e-05
2.1968719959259033,3.95516e-05
2.2104837894439697,3.96336e-05
2.223741054534912,3.96783e-05
2.237351179122925,3.97156e-05
2.2517406940460205,3.98199e-05
2.265598773956299,3.98757e-05
