Time,Vlockin (microvolts)
1714.4018642902374,321.688
1714.6010658740997,321.152
1714.8018848896027,320.91299999999995
1715.0012588500977,320.496
1715.2012786865234,320.31699999999995
1715.4010038375854,321.331
1715.6011099815369,322.46299999999997
1715.8007905483246,322.344
1716.0022723674774,322.105
1716.2009377479553,322.046
1716.4008264541626,320.973
1716.600861787796,320.496
1716.800972700119,320.67499999999995
1717.0021169185638,320.734
1717.200837135315,321.03200000000004
1717.401920080185,319.06600000000003
1717.6015915870667,321.748
1717.800838470459,320.973
1718.000951051712,320.67499999999995
1718.2012040615082,319.364
1718.4015309810638,319.24399999999997
1718.6014811992645,318.708
1718.800626039505,319.125
1719.0011944770813,320.556
1719.2012591362,322.344
1719.4008674621582,321.27099999999996
1719.6013522148132,320.854
1719.8012580871582,320.079
1720.0019245147705,319.423
1720.2010834217072,318.529
1720.40176987648,318.231
1720.6010880470276,319.364
1720.8010966777802,321.27099999999996
1721.0007195472717,321.211
1721.2008264064789,320.138
1721.4013502597809,319.54200000000003
1721.6006963253021,317.695
1721.8013896942139,317.575
1722.0020291805267,317.337
1722.2014722824097,318.231
1722.400966644287,319.66200000000003
1722.6013190746307,320.436
1722.8013186454773,320.734
1723.0013554096222,319.781
1723.2012178897858,319.96
1723.4014270305634,318.40999999999997
1723.6009697914124,318.231
1723.8014023303986,318.231
1724.0010628700256,317.873
1724.201063632965,320.615
1724.4010400772095,322.761
1724.6011955738068,323.059
1724.801037311554,322.761
1725.0010402202606,321.27099999999996
1725.2009868621826,318.40999999999997
1725.4008209705353,317.993
1725.6010081768036,318.40999999999997
1725.801075220108,318.231
1726.0081219673157,319.54200000000003
1726.2009139060974,320.615
1726.400761127472,321.092
1726.6009709835052,319.96
1726.8011753559113,319.90000000000003
1727.0045635700226,321.45
1727.200825214386,319.781
1727.401207447052,319.483
1727.600974559784,320.25800000000004
1727.8012313842773,321.092
1728.0010333061218,322.22499999999997
1728.2010810375214,320.138
1728.4008259773254,320.079
1728.600935459137,320.377
1728.8010041713715,319.721
1729.0008013248444,318.887
1729.201094865799,320.25800000000004
1729.4014556407928,320.556
1729.6007196903229,321.152
1729.8006792068481,319.90000000000003
1730.0015461444855,320.25800000000004
1730.2007596492767,320.25800000000004
1730.4017989635468,319.24399999999997
1730.600819826126,318.40999999999997
1730.8011512756348,317.277
1731.0010838508606,317.933
1731.2006990909576,319.006
1731.4022130966187,320.198
1731.6007175445557,320.377
1731.8020293712616,320.91299999999995
1732.0009219646454,319.185
1732.200968503952,317.575
1732.4018902778625,318.171
1732.601078748703,317.873
1732.8012375831604,318.708
1733.0018646717072,320.138
1733.201807975769,322.165
1733.400801897049,321.27099999999996
1733.6009452342987,321.27099999999996
1733.801293373108,320.079
1734.0016667842865,319.96
1734.2013540267944,318.708
1734.4008781909943,319.423
1734.601128578186,320.556
1734.800708770752,322.403
1735.0009756088257,322.99899999999997
1735.2010774612427,321.927
1735.4010255336761,321.807
1735.6017105579376,320.794
1735.800945520401,320.734
1736.001662492752,319.781
1736.2017631530762,319.602
1736.4017505645752,322.046
1736.6011505126953,323.65500000000003
1736.8010017871857,323.119
1737.0017552375793,322.761
1737.2009978294373,321.986
1737.400862455368,322.403
1737.600738286972,320.079
1737.8009626865387,318.768
1738.0017721652985,320.138
1738.2012162208557,321.927
1738.4011125564575,322.22499999999997
1738.6016895771027,322.403
1738.800641298294,321.509
1739.001178264618,321.569
1739.2010009288788,321.211
1739.4017715454102,322.22499999999997
1739.6009125709534,321.688
1739.80091547966,322.284
1740.0009679794312,322.642
1740.2017786502838,323.774
1740.4009582996368,323.65500000000003
